Date,Open,Close,High,Low,Volume,Significant_Change,1h_change,4h_change,24h_change,EMA50Below200,RSI,Signal
2019-08-04 00:00:00,0.10123991608820973,0.10398047180634085,0.09540865509984003,0.11231034482758623,0.0795232691666022,0,0,0,0.013761049849630912,1,0.5692029790861561,0
2019-08-05 00:00:00,0.10381525761942934,0.11848683773155208,0.11019665175529653,0.12022413793103448,0.13822451227857968,1,0,0,0.0719722598105548,1,0.6649694172525951,0
2019-08-06 00:00:00,0.11839748946838813,0.11248655476366212,0.11669058430251633,0.12498275862068967,0.165722283693551,1,0,0,-0.030683403068340307,1,0.6036931621915775,0
2019-08-07 00:00:00,0.1123121902341685,0.12146993295706557,0.11379691487733029,0.12732758620689655,0.11704479987019357,1,0,0,0.043920326693891155,1,0.6576321729707639,0
2019-08-08 00:00:00,0.12131393583817987,0.12233929213707234,0.11340997071000891,0.13017241379310346,0.09415877442267281,0,0,0,0.004232365145228216,1,0.6626289386661866,2
2019-08-09 00:00:00,0.12218375317653882,0.11962893704646296,0.11285478994819997,0.13281034482758622,0.0669101782274154,0,0,0,-0.013371457404759902,1,0.6330252128588514,0
2019-08-10 00:00:00,0.11947196970989035,0.10974893051552997,0.11140795523560695,0.12427586206896551,0.07732615012299181,1,0,0,-0.051240315127497146,1,0.5339880934484322,0
2019-08-11 00:00:00,0.10957992939129843,0.11407795499446849,0.10474578609389959,0.12291379310344827,0.047084498122498715,1,0,0,0.021958461186533672,1,0.5655877240604263,0
2019-08-12 00:00:00,0.1140825132604506,0.11132740919031975,0.10424107631043691,0.12517241379310345,0.027433414088252932,0,0,0,-0.014149223430375378,1,0.5386942023479029,0
2019-08-13 00:00:00,0.11128545358415909,0.10280446213139596,0.10227270815493245,0.11724137931034484,0.07715639271253692,1,0,0,-0.045853707261180154,1,0.4610796435748766,0
2019-08-14 00:00:00,0.1026725564102127,0.08849493860790025,0.09286828252307786,0.10286206896551725,0.12431945778338853,1,0,0,-0.08340678626223287,1,0.3552390960809804,0
2019-08-15 00:00:00,0.08836320843211162,0.09292197576362973,0.08549951968452274,0.09520689655172415,0.14883007400166068,1,0,0,0.025155035498741225,1,0.39424917608466775,0
2019-08-16 00:00:00,0.09274640560776357,0.0936845317137115,0.08713141465105209,0.09960344827586207,0.11046076933665874,0,0,0,0.00431425460507288,1,0.4010597944447965,0
2019-08-17 00:00:00,0.09351392638838196,0.09128100927486921,0.08589828052510007,0.10351724137931034,0.04186565171914464,0,0,0,-0.013785686351192804,1,0.382614152019561,0
2019-08-18 00:00:00,0.09116026810840314,0.09305709436297277,0.08654258657034561,0.10493103448275862,0.033435467415343055,0,0,0,0.010084218064611171,1,0.4003076424072987,0
2019-08-19 00:00:00,0.09282203254140162,0.10338385276123815,0.09379358379275946,0.10827586206896553,0.06320054269827613,1,0,0,0.05538562095447065,1,0.49458818943448907,0
2019-08-20 00:00:00,0.10321832415192811,0.10089741323062393,0.09428146991677336,0.11351724137931035,0.04996587065838009,0,0,0,-0.01351578994404059,1,0.4719449258649357,0
2019-08-21 00:00:00,0.10074531407228013,0.08989948530339784,0.09145509512938238,0.10041379310344828,0.10105914076674984,1,0,0,-0.06358374322837741,1,0.38146079252556514,0
2019-08-22 00:00:00,0.08971057254447154,0.08938887458897207,0.08186560924359146,0.09977586206896552,0.0559846882614086,0,0,0,-0.002960800226351759,1,0.3775649245455534,0
2019-08-23 00:00:00,0.08919891528661336,0.0943493357925402,0.08541540138727896,0.10425862068965519,0.05476735817300614,1,0,0,0.027959262106072254,1,0.4265154585723027,0
2019-08-24 00:00:00,0.09417904592976653,0.09001958615093777,0.0847592786687775,0.10161724137931033,0.04635274823478891,1,0,0,-0.025014772503446917,1,0.390152866369959,0
2019-08-25 00:00:00,0.089864069721829,0.08964456846544466,0.08346385689122326,0.1001,0.04462180210085642,0,0,0,-0.0021713383339913147,1,0.3869725632133056,0
2019-08-26 00:00:00,0.08948885439939966,0.09382090178116353,0.08893154621206897,0.10574137931034483,0.07694255454387305,1,0,0,0.02360990652404356,1,0.43177793247016155,0
2019-08-27 00:00:00,0.09365033342997972,0.09053097390388296,0.0842209215664173,0.10381034482758622,0.03871934791935349,0,0,0,-0.018951296150824824,1,0.4008185402571753,0
2019-08-28 00:00:00,0.09044394794740165,0.0827476523040575,0.08380033008019841,0.0960344827586207,0.08917351997372815,1,0,0,-0.046939572753253736,1,0.33400147983656575,0
2019-08-29 00:00:00,0.08257465932154248,0.07903156796598929,0.07302814093515997,0.09238275862068968,0.06067863118880062,1,0,0,-0.02292468504847835,1,0.3050531122850842,1
2019-08-30 00:00:00,0.07885491105691336,0.0805930052383152,0.0729490697357508,0.09276551724137932,0.032175142150951415,0,0,0,0.00954067284657852,1,0.32462741806425227,0
2019-08-31 00:00:00,0.08009073388706017,0.08012338081852724,0.07054261348820073,0.09609362068965518,9.213556434151826e-07,0,0,0,-0.002877750445241712,1,0.32058733032357684,0
2019-09-01 00:00:00,0.08070199375778145,0.08362894386496636,0.07535485303692291,0.09577586206896552,0.02462835885596861,0,0,0,0.021029542595944375,1,0.36736561653116534,0
2019-09-02 00:00:00,0.08345300428086574,0.09400841062391008,0.08554999066286903,0.09921667553413796,0.09546260653612047,1,0,0,0.05861571043511741,1,0.48616352837373883,0
2019-09-03 00:00:00,0.0938379410911944,0.09832111400708099,0.09046249922190577,0.10846551724137932,0.09202694648340964,1,0,0,0.023775960905929892,1,0.5281721017270178,0
