Date,Open,Close,High,Low,Volume,Significant_drop
2019-12-31 17:00:00,7223.3,7174.0,7223.3,7171.0,207.3372838,0
2019-12-31 18:00:00,7173.8,7173.9,7181.6,7161.3,132.55099724,0
2019-12-31 19:00:00,7174.0,7184.79384782,7192.5,7166.8,171.60774033,0
2019-12-31 20:00:00,7182.4,7180.6,7193.6,7177.1,39.28683015,0
2019-12-31 21:00:00,7180.7,7197.4,7199.39439198,7180.6,90.76516241,0
2019-12-31 22:00:00,7197.3,7217.0,7227.3,7193.6,184.85882322,0
2019-12-31 23:00:00,7216.6,7208.3,7216.6,7199.0,151.67514869000001,0
2020-01-01 00:00:00,7208.2,7189.80885108,7208.2,7185.4,106.25441403,0
2020-01-01 01:00:00,7187.5,7227.8,7250.0,7187.4,61.75445158,0
2020-01-01 02:00:00,7231.24716,7256.7,7256.7,7231.24716,34.66355388,0
2020-01-01 03:00:00,7256.6,7237.3,7256.7,7233.1,32.38361943,0
2020-01-01 04:00:00,7237.2,7226.1,7241.3,7226.1,52.42960881,0
2020-01-01 05:00:00,7225.71325,7236.5,7236.6,7225.7,28.37183562,0
2020-01-01 06:00:00,7236.501201,7234.5,7242.0805872,7231.8,269.20793266,0
2020-01-01 07:00:00,7234.5,7219.6432693,7237.7,7215.2627328,24.94646312,0
2020-01-01 08:00:00,7219.7,7207.23837364,7219.7,7194.30589027,48.55978045,0
2020-01-01 09:00:00,7207.23837364,7203.3,7218.8616745,7202.5,40.28418092,0
2020-01-01 10:00:00,7201.4,7215.4,7217.0,7201.2,44.17644567,0
2020-01-01 11:00:00,7215.45046547,7208.1,7246.6,7208.1,56.5316399,0
2020-01-01 12:00:00,7208.12286307,7233.7,7234.94714793,7208.1,84.40719764,0
2020-01-01 13:00:00,7233.7,7234.4,7241.1,7230.0,77.21671539,0
2020-01-01 14:00:00,7234.4,7235.8,7244.1960371,7226.6,52.11868779,0
2020-01-01 15:00:00,7235.88968888,7249.90204744,7285.1,7235.8,301.12648712,0
2020-01-01 16:00:00,7249.90204744,7250.9957747,7250.9957747,7239.2,67.52711513,0
2020-01-01 17:00:00,7250.9957747,7261.9,7269.6,7245.1,115.23507321,0
2020-01-01 18:00:00,7261.8,7260.8,7264.1,7254.1472265,61.14262962,0
2020-01-01 19:00:00,7260.8,7250.07318254,7260.8,7245.9,44.00739253,0
2020-01-01 20:00:00,7250.07318254,7254.0,7254.9,7245.0,53.2224864,0
2020-01-01 21:00:00,7253.9,7258.051466,7261.9,7250.3,134.80306737,0
2020-01-01 22:00:00,7258.6,7216.1,7259.0,7210.0,189.32225694,0
2020-01-01 23:00:00,7214.59484549,7212.7,7214.6,7198.67038998,91.36301073999999,0
2020-01-02 00:00:00,7212.395985,7225.0,7225.8,7202.1,45.62920998,0
2020-01-02 01:00:00,7225.1,7202.83606306,7225.2,7200.22455262,51.41167489,0
2020-01-02 02:00:00,7202.8159272,7179.4,7202.8159272,7175.1,96.15994383,0
2020-01-02 03:00:00,7179.3,7133.1,7179.36915632,7132.0,398.75690629,0
2020-01-02 04:00:00,7133.0,7153.5,7164.0,7131.0,81.27841453,0
2020-01-02 05:00:00,7153.5,7149.3,7158.48310758,7144.5,29.44893197,0
2020-01-02 06:00:00,7149.4,7148.8,7156.0,7143.0,207.51058742,0
2020-01-02 07:00:00,7149.16461238,7126.0,7155.88828084,7100.0,287.85387261,0
2020-01-02 08:00:00,7126.0,7165.01618,7165.4,7126.0,54.3315848,0
2020-01-02 09:00:00,7165.1,7178.5,7178.5,7158.3,119.91108528,0
2020-01-02 10:00:00,7178.4,7181.5,7196.1,7178.4,60.85257125,0
2020-01-02 11:00:00,7181.5,7161.0,7184.0,7161.0,36.24118043,0
2020-01-02 12:00:00,7161.02305927,7171.584116,7180.5,7161.01172511,32.93934568,0
2020-01-02 13:00:00,7171.6,7154.4,7178.20729483,7126.08244602,106.85773414,0
2020-01-02 14:00:00,7154.45154039,7157.1,7168.7,7141.0,66.83887992,0
2020-01-02 15:00:00,7157.1,7149.1,7173.1,7142.9,423.84130792,0
2020-01-02 16:00:00,7149.22762277,7071.1,7161.7,7051.6,498.98813223,0
2020-01-02 17:00:00,7071.0,7002.4,7071.0,6963.0,1578.98895537,0
2020-01-02 18:00:00,7002.5,7005.9,7010.0,6980.1,98.56837851,0
2020-01-02 19:00:00,7005.9,7013.9627495,7019.8,6991.9,154.23529287,0
2020-01-02 20:00:00,7013.6,6985.0,7013.9,6981.2,132.32032049,0
2020-01-02 21:00:00,6985.0,7005.99371601,7006.6,6976.53118624,57.99504797,0
2020-01-02 22:00:00,7005.9667596,6995.790244,7010.1,6995.2,171.0099849,0
2020-01-02 23:00:00,6995.790244,6989.4,6995.8,6984.0,57.36910341,0
2020-01-03 00:00:00,6989.4,6962.5,6992.78358145,6950.1,292.5223081,0
2020-01-03 01:00:00,6962.6,6918.7,6970.5,6918.7,359.89767934,0
2020-01-03 02:00:00,6918.7,6988.9,6994.6,6909.3,426.49996847,0
2020-01-03 03:00:00,6989.0,6977.6,6996.2,6977.5,38.84346798,0
2020-01-03 04:00:00,6977.5,7255.9,7416.0,6977.5,2076.41079256,0
2020-01-03 05:00:00,7255.9,7252.5,7299.8,7213.2,399.4579064,0
