Date,Open,Close,High,Low,Volume,Significant
2019-12-31 20:00:00,7182.4,7208.3,7227.3,7177.1,466.58596447,0
2020-01-01 00:00:00,7208.2,7237.3,7256.7,7185.4,235.05603892,0
2020-01-01 04:00:00,7237.2,7219.6432693,7242.0805872,7215.2627328,374.95584021,0
2020-01-01 08:00:00,7219.7,7208.1,7246.6,7194.30589027,189.55204694,0
2020-01-01 12:00:00,7208.12286307,7249.90204744,7285.1,7208.1,514.86908794,0
2020-01-01 16:00:00,7249.90204744,7250.07318254,7269.6,7239.2,287.91221049,0
2020-01-01 20:00:00,7250.07318254,7212.7,7261.9,7198.67038998,468.71082145,0
2020-01-02 00:00:00,7212.395985,7133.1,7225.8,7132.0,591.95773499,0
2020-01-02 04:00:00,7133.0,7126.0,7164.0,7100.0,606.09180653,0
2020-01-02 08:00:00,7126.0,7161.0,7196.1,7126.0,271.33642176,0
2020-01-02 12:00:00,7161.02305927,7149.1,7180.5,7126.08244602,630.47726766,0
2020-01-02 16:00:00,7149.22762277,7013.9627495,7161.7,6963.0,2330.78075898,0
2020-01-02 20:00:00,7013.6,6989.4,7013.9,6976.53118624,418.69445677,0
2020-01-03 00:00:00,6989.4,6977.6,6996.2,6909.3,1117.76342389,0
2020-01-03 04:00:00,6977.5,7236.6,7416.0,6977.5,2832.5825056,1
2020-01-03 08:00:00,7235.8,7369.5,7404.1705062,7235.7,1056.75827715,0
2020-01-03 12:00:00,7372.7,7346.0,7407.57243269,7272.4,698.79807886,0
2020-01-03 16:00:00,7346.0,7370.6,7444.9,7325.0,638.90312991,0
2020-01-03 20:00:00,7370.5,7371.2,7390.0,7299.1,336.86332511,0
2020-01-04 00:00:00,7371.1,7362.810764,7378.6,7325.1,240.71713593,0
2020-01-04 04:00:00,7362.8,7370.9,7394.3,7348.5,312.07316906,0
2020-01-04 08:00:00,7370.9,7361.69480402,7395.7,7334.0,190.5538865,0
2020-01-04 12:00:00,7361.69480402,7348.6,7362.0,7325.98442418,615.10889379,0
2020-01-04 16:00:00,7348.7,7354.1,7422.0,7297.3,2298.35269257,0
2020-01-04 20:00:00,7352.7,7369.83176114,7383.2,7333.7,608.90707679,0
2020-01-05 00:00:00,7370.3,7492.9,7502.9,7369.9,977.3966441,0
2020-01-05 04:00:00,7493.0,7485.6764073,7509.9,7470.8,255.91907296,0
2020-01-05 08:00:00,7485.78837396,7451.0,7490.2,7430.0,215.92722661,0
2020-01-05 12:00:00,7451.08234855,7477.7,7480.0,7430.6,864.55285136,0
2020-01-05 16:00:00,7478.19991824,7447.0,7490.9,7439.7,1039.5422487,0
2020-01-05 20:00:00,7446.9,7364.6,7447.0,7315.8,1097.2974311,0
2020-01-06 00:00:00,7363.9,7545.0,7584.3,7358.0,1851.98527053,0
2020-01-06 04:00:00,7545.05859923,7523.3,7560.9,7510.0,428.60751124,0
2020-01-06 08:00:00,7523.36152896,7552.65737436,7576.0,7523.0,716.46496315,0
2020-01-06 12:00:00,7552.65737436,7538.0,7632.0,7504.4,1416.43166781,0
2020-01-06 16:00:00,7538.0,7551.1,7562.5,7500.55400484,738.11416764,0
2020-01-06 20:00:00,7551.0,7757.9,7785.0,7545.3,3389.67611475,1
2020-01-07 00:00:00,7759.5,7894.8,7938.0,7758.8,4566.29917836,0
2020-01-07 04:00:00,7894.8,7877.9,7896.5,7808.0,700.12585813,0
2020-01-07 08:00:00,7877.9,7903.9,7952.0,7860.0,1114.95197465,0
